My Type,Saint Motel
Bad Bad Bad (feat. Lil Baby),Young Thug
The End,Meek Mill
R.I.C.O. (feat. Drake),Meek Mill
Dreams and Nightmares,Meek Mill
Championships,Meek Mill
On Me (feat. Cardi B),Meek Mill
Uptown Vibes (feat. Fabolous & Anuel AA),Meek Mill
Trauma,Meek Mill
Money In The Grave (feat. Rick Ross),Drake
B.M.F. (Blowin' Money Fast) [feat. Styles P],Rick Ross
Bogus Charms (feat. Meek Mill),Rick Ross
Rich N***a Lifestyle (feat. Nipsey Hussle & Teyana Taylor),Rick Ross
Gold Roses (feat. Drake),Rick Ross
Anybody,Burna Boy
Wetin Man Go Do,Burna Boy
Baby,"Quality Control, Lil Baby & DaBaby"
Leave Em Alone (feat. City Girls & PnB Rock),"Quality Control, Layton Greene & Lil Baby"
Stripper Bowl,Quality Control & Migos
Never Recover,"Lil Baby, Gunna & Drake"
Space Cadet (feat. Gunna),Metro Boomin
Add Me In,Chris Brown
Chanel (Go Get It) [feat. Gunna & Lil Baby],Young Thug & Young Stoner Life
Problem,Young Thug
Sin (feat. Jaden Smith),Young Thug
Home Body (feat. Gunna & TK Kravitz),Lil Durk
Through da Storm,Polo G
Runway Walk (feat. Brevi) [Bonus Track],Demrick
Pure Water,Mustard & Migos
Gettin' Jiggy Wit It,Will Smith
Ima Boss (feat. Rick Ross),Meek Mill
F*ck Up Some Commas,Future
Goddamn (feat. A Boogie wit da Hoodie),Tyga
Grinding All My Life,Nipsey Hussle
Survival of the Fittest,Mobb Deep
Suge,DaBaby
Hell On Earth (Front Lines),Mobb Deep
Get Away,Mobb Deep
The Way I Are (feat. Keri Hilson & D.O.E.),Timbaland
Hopeless Romantic (feat. Swae Lee),Wiz Khalifa
Guatemala (From Swaecation),"Rae Sremmurd, Swae Lee & Slim Jxmmi"
Baby Birkin,Gunna
Speed It Up,Gunna
Same Yung N***a (feat. Playboi Carti),Gunna
Clout (feat. Cardi B),Offset
Put a Date on It (feat. Lil Baby),Yo Gotti
4 Your Eyez Only,J. Cole
My Life (feat. Lil Wayne),The Game
Ridin (feat. Lil Durk),Young Thug
In Those Jeans,Ginuwine
So Sick,Ne-Yo
Champagne Life,Ne-Yo
Makin' a Movie,Ne-Yo
One In a Million,Ne-Yo
Cause I Said So,Ne-Yo
Beautiful Monster,Ne-Yo
Planez (feat. J. Cole),Jeremih
Pass Dat,Jeremih
Oui,Jeremih
DnF (feat. Drake & Future),P. Reign
Monstas & Villains,Desiigner
I Against All (Aggressive Motivational Hard Hip Hop Beat Mix) [Rap Instrumental],Mixla Production Beats
No Flockin,Kodak Black
Come Get Her,Rae Sremmurd
March Madness,Future
King Kunta,Kendrick Lamar
The City (feat. Kendrick Lamar),The Game
I Want U,Alison Wonderland
Hands,The Ting Tings
untitled 02 l 06.23.2014.,Kendrick Lamar
Soul Searching,Bazzi
Barking,Ramz
Won't Be Late (feat. Drake),Swae Lee
Sanguine Paradise,Lil Uzi Vert
Boyfriend,Justin Bieber
My Number,Foals
Call It What You Want,Foster the People
Outta Sight Outta Mind,Gunna
Premier Gaou,Magic System
Die Slow (feat. 21 Savage),Lil Durk
As Long As You Love Me (feat. Big Sean),Justin Bieber
Let Me Love You (feat. Justin Bieber),DJ Snake
What Do You Mean?,Justin Bieber
Where Are Ü Now (feat. Justin Bieber),"Jack Ü, Skrillex & Diplo"
Eenie Meenie (Radio Version),Sean Kingston & Justin Bieber
A Thousand Miles,Vanessa Carlton
Circles,Post Malone
Beginning,Joeboy
Don't Like.1,"Kanye West, Chief Keef, Pusha T, Big Sean & Jadakiss"
Clique,"Kanye West, JAY-Z & Big Sean"
Mercy.1,"Kanye West, Big Sean, Pusha T & 2 Chainz"
Reason,11:11
Fade,Kanye West
Yikes,Kanye West
Hollywood's Bleeding,Post Malone
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee
RN4L,Lil Durk
You Came to Party (feat. Too $hort),Meter Mobb
INTRO,DaBaby
John Redcorn,SiR
Feels (feat. Young Thug & J Hus),Ed Sheeran
Memo,Young Thug
Power,Young Thug
223's (feat. 9lokknine),YNW Melly
Worst Behavior,Drake
Own It,Drake
My Boo,USHER & Alicia Keys
Runaway Love (feat. Mary J. Blige),Ludacris
U Remind Me,USHER
Mountain at My Gates,Foals
Yeah! (feat. Lil Jon & Ludacris),USHER
DJ Got Us Fallin' in Love (feat. Pitbull),USHER
U Got It Bad,USHER
F.N,Lil Tjay
Hold On,Lil Tjay
VIBEZ,DaBaby
&Run,Sir Sly
Camelot,NLE Choppa
Capo,NLE Choppa
Gave Em Hope,Meek Mill
Na Na,Trey Songz
One Two,Ugly God
Abg,Quando Rondo
Lockjaw (feat. Kodak Black),French Montana
First Day Out,Tee Grizzley
Who the Fuck Is You,Xavier Wulf
Ocean Drive,Duke Dumont
Need a Best Friend (feat. Lil Quee and Quando Rondo),A Boogie wit da Hoodie
Believe Me (feat. Drake),Lil Wayne
Drop the World (feat. Eminem),Lil Wayne
Paper Rings,Taylor Swift
American Boy (feat. Kanye West),Estelle
